,Date published,url,anger,disgust,fear,joy,sadness,label,score
52,2021-10-19T08:20:18Z,https://www.theguardian.com/australia-news/live/2021/oct/19/australia-politics-live-net-zero-climate-covid-coronavirus-scott-morrison,0.130883,0.109373,0.15271,0.508389,0.467107,negative,-0.439825
53,2021-10-16T05:00:09Z,https://www.theguardian.com/culture/2021/oct/16/from-succession-to-the-last-duel-a-complete-guide-to-this-weeks-entertainment,0.054903,0.071877,0.118047,0.681058,0.088899,positive,0.897742
54,2021-10-15T16:16:33Z,https://www.theguardian.com/business/live/2021/oct/15/ftse-100-pandemic-high-uk-haulage-cabotage-changes-insolvencies-economy-growth-business-live,error,error,error,error,error,error,error
55,2021-10-14T14:09:40Z,https://www.theguardian.com/business/2021/oct/14/hamleys-reassures-over-christmas-supplies-as-it-reveals-top-toy-predictions,0.055323,0.051224,0.082137,0.682799,0.141533,positive,0.469605
56,2021-10-13T16:48:45Z,https://www.theguardian.com/technology/2021/oct/13/bitcoin-could-trigger-financial-meltdown-warns-bank-of-england-deputy,0.117357,0.071809,0.118054,0.522672,0.567488,positive,0.260799
57,2021-10-13T13:57:11Z,https://www.theguardian.com/business/live/2021/oct/13/uk-economy-picks-up-july-drop-gdp-remains-below-pre-pandemic-level-business-live,error,error,error,error,error,error,error
58,2021-10-13T00:15:11Z,https://www.theguardian.com/us-news/live/2021/oct/12/debt-ceiling-deal-latest-biden-pelosi-democrats-us-politics-infrastructure-live,error,error,error,error,error,error,error
59,2021-10-09T22:27:48Z,https://www.theguardian.com/football/blog/2021/oct/09/phil-foden-and-jadon-sancho-rise-above-squabble-to-shine-for-england,0.126388,0.095158,0.109201,0.5907,0.463705,positive,0.47371
60,2021-10-08T07:27:05Z,https://www.theguardian.com/australia-news/live/2021/oct/08/australia-covid-corona-newsouthwales-victoria-perrottet-andrews-morrison-politics-vaccine-hospitals-roadmap-nsw-melbourne-students-school,0.112778,0.418541,0.161979,0.597685,0.25572,negative,-0.282213
61,2021-10-06T20:13:31Z,https://www.theguardian.com/australia-news/2021/oct/07/morning-mail-nsw-eyes-freedom-republican-russian-roulette-gastronomical-oscars,0.079744,0.064602,0.013392,0.519029,0.329717,negative,-0.364096
62,2021-10-06T16:30:30Z,https://www.theguardian.com/business/grogonomics/2021/oct/07/us-debt-ceiling-an-ill-financial-wind-is-blowing-australias-way,0.15897,0.455107,0.274021,0.13236,0.595106,negative,-0.577281
63,2021-10-05T16:58:11Z,https://www.theguardian.com/business/live/2021/oct/05/uk-new-car-sales-september-services-companies-economy-stock-markets-shortages-imf-business-live,0.1981,0.433789,0.508138,0.109821,0.588321,negative,-0.577396
64,2021-10-01T20:00:40Z,https://www.theguardian.com/australia-news/2021/oct/02/what-campbell-newman-did-next-the-making-of-an-unlikely-queensland-libertarian,error,error,error,error,error,error,error
65,2021-09-29T08:49:10Z,https://www.theguardian.com/australia-news/live/2021/sep/29/australia-covid-queensland-sydney-victoria-gladys-berejiklian-andrews-palaszczuk-sydney-brisbane-perth-nrl-afl-restrictions,0.100259,0.067791,0.140823,0.491714,0.592548,negative,-0.468554
66,2021-09-29T05:32:09Z,https://www.theguardian.com/world/2021/sep/29/wednesday-briefing-gas-boilers,0.42673,0.419268,0.527563,0.452092,0.524349,negative,-0.613136
67,2021-09-28T22:53:42Z,https://www.theguardian.com/football/blog/2021/sep/28/psg-fans-gorge-on-the-luxury-of-lionel-messis-moment-of-brilliance,0.148326,0.100776,0.125506,0.604575,0.500888,positive,0.483758
